Net Asset Value,Repurchase Price,Sale Price,NAV date
36.94,,,24-Dec-20
37.2229,,,28-Dec-20
37.3534,,,29-Dec-20
37.3942,,,30-Dec-20
37.4308,,,31-Dec-20
37.6344,,,01-Jan-21
38.1749,,,04-Jan-21
38.2751,,,05-Jan-21
38.2382,,,06-Jan-21
38.4275,,,07-Jan-21
38.7926,,,08-Jan-21
39.0855,,,11-Jan-21
39.4451,,,12-Jan-21
39.7578,,,13-Jan-21
39.8108,,,14-Jan-21
39.4208,,,15-Jan-21
38.8954,,,18-Jan-21
39.4398,,,19-Jan-21
39.7613,,,20-Jan-21
39.4527,,,21-Jan-21
38.8981,,,22-Jan-21
38.4615,,,25-Jan-21
37.7323,,,27-Jan-21
37.5308,,,28-Jan-21
37.1754,,,29-Jan-21
38.9301,,,01-Feb-21
39.9013,,,02-Feb-21
40.333,,,03-Feb-21
40.7282,,,04-Feb-21
40.9714,,,05-Feb-21
41.525,,,08-Feb-21
41.5075,,,09-Feb-21
41.4269,,,10-Feb-21
41.6198,,,11-Feb-21
41.5333,,,12-Feb-21
42.0132,,,15-Feb-21
41.951,,,16-Feb-21
42.0261,,,17-Feb-21
42.1176,,,18-Feb-21
41.5222,,,19-Feb-21
40.7071,,,22-Feb-21
41.0087,,,23-Feb-21
41.7947,,,24-Feb-21
42.314,,,25-Feb-21
41.055,,,26-Feb-21
41.5338,,,01-Mar-21
41.9931,,,02-Mar-21
42.807,,,03-Mar-21
42.3945,,,04-Mar-21
41.7324,,,05-Mar-21
42.1074,,,08-Mar-21
42.0449,,,09-Mar-21
42.2585,,,10-Mar-21
41.8585,,,12-Mar-21
41.6648,,,15-Mar-21
41.5618,,,16-Mar-21
40.8112,,,17-Mar-21
40.2576,,,18-Mar-21
40.7037,,,19-Mar-21
40.7267,,,22-Mar-21
40.8672,,,23-Mar-21
39.9969,,,24-Mar-21
39.4211,,,25-Mar-21
39.984,,,26-Mar-21
40.7068,,,30-Mar-21
40.5222,,,31-Mar-21
41.1314,,,01-Apr-21
40.4525,,,05-Apr-21
40.5105,,,06-Apr-21
40.8849,,,07-Apr-21
40.9081,,,08-Apr-21
40.7663,,,09-Apr-21
39.0296,,,12-Apr-21
39.593,,,13-Apr-21
39.744,,,15-Apr-21
39.8549,,,16-Apr-21
39.1117,,,19-Apr-21
39.0563,,,20-Apr-21
39.406,,,22-Apr-21
39.3698,,,23-Apr-21
39.7678,,,26-Apr-21
40.2809,,,27-Apr-21
40.8175,,,28-Apr-21
40.771,,,29-Apr-21
40.296,,,30-Apr-21
40.4162,,,03-May-21
40.1021,,,04-May-21
40.4738,,,05-May-21
40.7322,,,06-May-21
41.0732,,,07-May-21
41.4659,,,10-May-21
41.4947,,,11-May-21
41.157,,,12-May-21
40.9284,,,14-May-21
41.5893,,,17-May-21
